date,usd,euro
01-09-25,410,460
02-09-25,410,460
03-09-25,410,460
04-09-25,410,460
05-09-25,411.5,460
06-09-25,412,460
07-09-25,413,460
08-09-25,413,462.5
09-09-25,415,465
10-09-25,415,465
11-09-25,414,475
12-09-25,416,470
13-09-25,420,470
14-09-25,420,475
15-09-25,420,472.5
16-09-25,420,470
17-09-25,420,475
18-09-25,420,480
19-09-25,420,478
20-09-25,420,480
21-09-25,421,480
22-09-25,425,485
23-09-25,425,485
24-09-25,425,485
25-09-25,428,485
26-09-25,430,490
27-09-25,430,490
28-09-25,432,490
29-09-25,435,495
30-09-25,435,495
01-10-25,440,500
02-10-25,440,500
03-10-25,440,500
04-10-25,440,500
05-10-25,445,500
06-10-25,445,500
07-10-25,445,500
08-10-25,450,505
09-10-25,450,505
10-10-25,450,512
11-10-25,455,515
12-10-25,455,520
13-10-25,455,520
14-10-25,458,520
15-10-25,460,520
16-10-25,465,520
17-10-25,465,525
18-10-25,470,525
19-10-25,470,525
20-10-25,473,525
21-10-25,475,530
22-10-25,480,531.5
23-10-25,480,540
24-10-25,485,540
25-10-25,490,540
26-10-25,490,540
27-10-25,485,540
28-10-25,480,540
29-10-25,460,528
30-10-25,450,520
31-10-25,450,500
01-11-25,445,500
02-11-25,445,500
03-11-25,410,470
04-11-25,405,460
05-11-25,405,450
06-11-25,400,450
07-11-25,405,450
08-11-25,410,450
09-11-25,420,455
10-11-25,430,460
11-11-25,440,470
12-11-25,445,480
13-11-25,455,485
14-11-25,460,500
15-11-25,450,485
16-11-25,430,480
17-11-25,425,470
18-11-25,425,470
19-11-25,420,475
20-11-25,430,470
21-11-25,430,475
22-11-25,430,480
23-11-25,430,480
24-11-25,430,470
25-11-25,430,470
26-11-25,435,475
27-11-25,435,480
28-11-25,440,490
29-11-25,440,480
30-11-25,444,480
01-12-25,440,485
02-12-25,442,485
03-12-25,440,485
04-12-25,440,482.5
05-12-25,440,482.5
06-12-25,440,485
07-12-25,440,490
08-12-25,440,480
09-12-25,435,480
10-12-25,435,472.5
11-12-25,435,470
12-12-25,435,470
